date,daily_yield_kwh,avg_ambient_temperature,avg_module_temperature,daily_irradiation_kwh_m2,plant_id,capacity_kw_estimate,specific_yield_kwh_per_kwp,month,day_of_year
2020-05-15,137473.0,27.430822788408364,32.58296413615345,4.759252463985666,4135001,29150.212499,4.716020509446235,5,136
2020-05-16,142114.0,26.78053837288961,31.85885105854978,4.662922545515669,4135001,29150.212499,4.87523032653279,5,137
2020-05-17,165106.0,26.686726958971974,32.74043509285094,5.732844539757097,4135001,29150.212499,5.663972432642265,5,138
2020-05-18,117738.0,23.85093750987103,27.814343825347223,3.8166212713546357,4135001,29150.212499,4.039010007355487,5,139
2020-05-19,149637.125,25.338020985227853,29.72516349473886,4.511215373308341,4135001,29150.212499,5.133311635554399,5,140
2020-05-20,193770.0,25.07678206302489,29.332087682570346,4.561385556359927,4135001,29150.212499,6.647292880168448,5,141
2020-05-21,170263.928572,27.73757522231347,37.18687046531067,5.889042585804132,4135001,29150.212499,5.840915519152421,5,142
2020-05-22,156698.0,26.526702964037696,32.47888503784722,5.529780626308337,4135001,29150.212499,5.375535427241758,5,143
2020-05-23,186728.0,26.839616934735453,34.80184306727513,6.526662896811864,4135001,29150.212499,6.405716596625349,5,144
2020-05-24,174989.0,27.625116263144843,33.978544399454364,6.234295058565191,4135001,29150.212499,6.003009412229945,5,145
2020-05-25,192862.0,27.21015704775641,34.53396266921169,6.808341396231147,4135001,29150.212499,6.616143879109496,5,146
2020-05-26,172213.160714,26.904454978670632,33.47315381498016,6.062647195106469,4135001,29150.212499,5.907784058860901,5,147
2020-05-27,146129.5,26.835469128621032,32.42028754332011,5.134391562694418,4135001,29150.212499,5.012982324057259,5,148
2020-05-28,183432.0,26.766278065418955,33.50317441272321,6.508096011690328,4135001,29150.212499,6.292647094984047,5,149
2020-05-29,178107.666667,26.403786096856308,36.304638394521724,6.198915310352572,4135001,29150.212499,6.1099954819578075,5,150
2020-05-30,159056.0,24.99122322852182,30.816012287251983,5.468763542120506,4135001,29150.212499,5.456426775806743,5,151
2020-05-31,131229.0,25.472599566071427,30.16071277490079,4.4063645272983685,4135001,29150.212499,4.501819669565078,5,152
2020-06-01,127458.0,24.779514438438643,28.961083133146364,4.412311089412021,4135001,29150.212499,4.372455260982144,6,153
2020-06-02,161965.833333,24.374919994841267,29.448150874603176,5.370912344075134,4135001,29150.212499,5.556248803968624,6,154
2020-06-03,171562.0,24.795672348621554,29.998062865162908,5.481927210320035,4135001,29150.212499,5.885445946779477,6,155
2020-06-04,178827.541668,25.286175785317457,31.22162463467262,6.167743608868274,4135001,29150.212499,6.1346908422754955,6,156
2020-06-05,168529.166667,24.87062225967262,30.58256465674603,5.798164797462559,4135001,29150.212499,5.781404395346394,6,157
2020-06-06,139802.0,24.24735462703373,28.802772219047622,4.881719495874428,4135001,29150.212499,4.7959170110611,6,158
2020-06-07,168197.0,25.01608981106151,31.49789223799603,6.10059321322658,4135001,29150.212499,5.770009395498232,6,159
2020-06-08,182943.0,25.441268369455887,31.621922606952072,6.328881678970101,4135001,29150.212499,6.275871917100977,6,160
2020-06-09,176854.0,25.545735575347223,31.51574414975198,6.188668330101166,4135001,29150.212499,6.066988362642879,6,161
2020-06-10,141696.0,24.75246802832341,29.202542299702383,4.808072996693426,4135001,29150.212499,4.860890808424154,6,162
2020-06-11,123626.0,24.40341033864087,27.880257155753966,3.8834264108311354,4135001,29150.212499,4.2409982432972315,6,163
2020-06-12,127815.0,24.07237888938492,27.585833759325396,4.075387764879165,4135001,29150.212499,4.384702169988802,6,164
2020-06-13,185308.0,24.566728890724207,30.48102565704365,6.347338641623368,4135001,29150.212499,6.357003401136681,6,165
2020-06-14,155054.0,24.41289140282738,29.421707483829366,5.282055330496285,4135001,29150.212499,5.319137896690089,6,166
2020-06-15,147615.0,24.827413599355157,29.927816727579366,4.942201427350471,4135001,29150.212499,5.06394250145051,6,167
2020-06-16,136429.0,24.928929419444444,29.555567136954366,4.494781370718275,4135001,29150.212499,4.680206019241891,6,168
2020-06-17,129571.0,24.22972834312077,28.374542613884728,4.247128143058471,4135001,29150.212499,4.444941868071972,6,169
2020-05-15,169356.0,30.56599240392216,35.559493133825654,7.139763792610171,4136001,25979.760476190477,6.518766797531052,5,136
2020-05-16,147356.93333333332,29.47861210761494,35.14331397157567,5.919143212597584,4136001,25979.760476190477,5.671989680904899,5,137
2020-05-17,139414.0,29.780109462638354,34.62673104823728,5.308398763955941,4136001,25979.760476190477,5.366254247331031,5,138
2020-05-18,132159.0,27.33669398181274,31.61808900545977,5.373945078431656,4136001,25979.760476190477,5.086998400971364,5,139
2020-05-19,116953.0,26.5006591163106,30.106083579416644,5.086330152003878,4136001,25979.760476190477,4.5016966229224185,5,140
2020-05-20,145383.0,28.233015966012132,33.3498627262971,6.696717663764193,4136001,25979.760476190477,5.596010022233974,5,141
2020-05-21,122346.0,29.055460564499523,34.78279743487787,6.797796218881837,4136001,25979.760476190477,4.709281292724994,5,142
2020-05-22,123541.2,29.648565752693965,36.74805399707854,7.1339607639505225,4136001,25979.760476190477,4.7552863358082575,5,143
2020-05-23,138630.8,30.649598971599616,36.90995010181992,7.03999514205308,4136001,25979.760476190477,5.336107703034836,5,144
2020-05-24,128672.78571428571,30.805943188976695,37.11655134029108,6.856511073878517,4136001,25979.760476190477,4.952808777132866,5,145
2020-05-25,146816.0,30.818428757315612,36.56704098934387,6.6392312821561,4136001,25979.760476190477,5.651168344471522,5,146
2020-05-26,142649.33333333334,30.027993210704025,35.778917733752394,6.808668482337431,4136001,25979.760476190477,5.490787086511685,5,147
2020-05-27,127215.57142857142,30.400937587775385,37.03448525468151,6.857984655962292,4136001,25979.760476190477,4.8967184106704895,5,148
2020-05-28,134166.8,30.13005712483742,36.03372072519851,7.034256705062125,4136001,25979.760476190477,5.164281638506986,5,149
2020-05-29,157195.0,30.04737603661772,34.88385707270748,5.809302215029894,4136001,25979.760476190477,6.050671642799156,5,150
2020-05-30,154132.06666666665,29.548670317541564,33.620538683754965,5.956749361393257,4136001,25979.760476190477,5.932774738547847,5,151
2020-05-31,147573.0,28.451276544815613,33.0978153065613,4.800990022750084,4136001,25979.760476190477,5.680306411417664,5,152
2020-06-01,102789.66666666667,25.50704480733166,28.493761252741166,3.3575659830553772,4136001,25979.760476190477,3.956528650865343,6,153
2020-06-02,127237.0,27.102405316187742,32.883191490768674,5.937154594823899,4136001,25979.760476190477,4.897543228568568,6,154
2020-06-03,115103.0,26.134205705930633,29.572434186825973,4.153659492714304,4136001,25979.760476190477,4.4304873443882515,6,155
2020-06-04,116257.0,26.304939273004752,30.830730545605842,5.04569482130154,4136001,25979.760476190477,4.474906537592807,6,156
2020-06-05,138765.0,27.082355021791187,32.30056184117577,5.591650580339178,4136001,25979.760476190477,5.341273262591207,6,157
2020-06-06,140402.0,27.80129808214799,32.85081808159722,6.4909351816870915,4136001,25979.760476190477,5.404283851218468,6,158
2020-06-07,135934.0,27.85576371949234,33.594637900790225,6.258736201156137,4136001,25979.760476190477,5.232303820682976,6,159
2020-06-08,156054.0,28.493347079215766,34.312203557390454,6.759610993437647,4136001,25979.760476190477,6.006752839119434,6,160
2020-06-09,147725.92857142858,28.126931569636014,32.96038336130268,5.9595061764242985,4136001,25979.760476190477,5.686192861816957,6,161
2020-06-10,129779.0,27.33461143440439,30.8265111751387,4.644080688703037,4136001,25979.760476190477,4.995388626424705,6,162
2020-06-11,98813.06666666667,25.520911090613883,27.24831905874812,2.8194905251636393,4136001,25979.760476190477,3.8034633443686023,6,163
2020-06-12,100664.0,24.68342153952347,27.116899781609195,3.2757414379151184,4136001,25979.760476190477,3.874708548304553,6,164
2020-06-13,120462.59047619048,26.116937044037357,30.394871108321357,5.172543387315793,4136001,25979.760476190477,4.6367860314412885,6,165
2020-06-14,135946.6,27.019790044647987,31.589834115960247,5.50840755526036,4136001,25979.760476190477,5.232788813607047,6,166
2020-06-15,119852.30952380953,26.557591123491378,29.996232645977013,4.441261654962143,4136001,25979.760476190477,4.6132954009968605,6,167
2020-06-16,122253.8,26.369897159989986,29.589895937381357,3.9614791689863864,4136001,25979.760476190477,4.705732376248859,6,168
2020-06-17,97966.0,24.852174461143765,26.66863133209792,2.9851912039175748,4136001,25979.760476190477,3.7708584761503996,6,169
